employee_id,full_name,division_id,role_title,employment_status,hire_date,reports_to,created_date
69,Marilyn Burke,retail,Stock Clerk,active,2022-01-30,50,2026-07-30T00:16:10.880051
70,David Rodriguez,retail,Stock Clerk,active,2016-08-06,32,2026-07-30T00:16:10.880209
71,Jennifer Johnson,retail,Regional Retail Lead,active,2022-09-15,65,2026-07-30T00:16:10.880363
72,Nicholas Neal,retail,Stock Clerk,active,2023-07-08,31,2026-07-30T00:16:10.880515
73,Charles Cruz,retail,Cashier,active,2019-02-05,20,2026-07-30T00:16:10.880666
74,Mariah Lynch,retail,Cashier,active,2017-04-15,,2026-07-30T00:16:10.880816
75,Julia Martinez,retail,Store Manager,active,2025-01-19,11,2026-07-30T00:16:10.881293
76,Terri Kelly,retail,Regional Retail Lead,active,2022-04-14,,2026-07-30T00:16:10.881723
77,Richard Cook,retail,Store Manager,active,2022-08-19,55,2026-07-30T00:16:10.882063
78,Gilbert Alvarado,retail,Cashier,terminated,2022-01-22,1,2026-07-30T00:16:10.882345
79,Gabrielle Obrien,retail,Store Manager,active,2021-02-07,20,2026-07-30T00:16:10.882611
80,Cassie Steele DDS,retail,Stock Clerk,active,2016-01-15,15,2026-07-30T00:16:10.882891
81,Alexis Kline,retail,Stock Clerk,on_leave,2024-04-06,,2026-07-30T00:16:10.883180
82,Heather Powers,retail,Regional Retail Lead,active,2018-02-10,16,2026-07-30T00:16:10.883455
83,Angel Jackson,retail,Regional Retail Lead,active,2019-12-25,,2026-07-30T00:16:10.883744
84,Mr. Kenneth Rodriguez,retail,Store Manager,active,2021-06-06,30,2026-07-30T00:16:10.884088
85,Abigail Williams,retail,Regional Retail Lead,active,2023-02-14,75,2026-07-30T00:16:10.884372
86,Stacey Hancock,retail,Regional Retail Lead,active,2025-10-14,33,2026-07-30T00:16:10.884626
87,Richard Thompson,retail,Store Manager,active,2024-07-25,67,2026-07-30T00:16:10.884875
88,Thomas Robbins,retail,Regional Retail Lead,active,2021-03-09,,2026-07-30T00:16:10.885152
89,James Carpenter,retail,Regional Retail Lead,active,2016-10-16,12,2026-07-30T00:16:10.885448
90,Olivia Miller,retail,Store Manager,active,2020-08-16,15,2026-07-30T00:16:10.885747
91,Brian Rowe,retail,Regional Retail Lead,active,2017-01-23,70,2026-07-30T00:16:10.886012
92,Christopher Howard,retail,Cashier,active,2024-03-13,,2026-07-30T00:16:10.886277
93,Lisa Vargas,retail,Cashier,active,2026-02-15,2,2026-07-30T00:16:10.886536
94,Reginald Brown,retail,Cashier,active,2025-09-30,,2026-07-30T00:16:10.886820
95,Michael Davis,retail,Stock Clerk,active,2016-01-29,66,2026-07-30T00:16:10.887080
96,Kevin Mckee,retail,Store Manager,active,2025-08-16,38,2026-07-30T00:16:10.887317
97,John Davies,retail,Cashier,active,2016-08-10,92,2026-07-30T00:16:10.887556
98,Jasmine Sullivan,retail,Store Manager,active,2019-01-04,65,2026-07-30T00:16:10.887800
99,Miguel Russell,retail,Store Manager,on_leave,2026-01-01,53,2026-07-30T00:16:10.888044
100,Brittany Hernandez,retail,Cashier,active,2020-11-23,,2026-07-30T00:16:10.888265
101,Mary Duncan,retail,Store Manager,active,2020-04-18,41,2026-07-30T00:16:10.888458
102,Tonya Manning,retail,Store Manager,active,2018-03-16,,2026-07-30T00:16:10.888640
103,Larry Beck,retail,Regional Retail Lead,active,2026-03-25,52,2026-07-30T00:16:10.888822
104,Beth Gray,retail,Stock Clerk,on_leave,2016-04-20,65,2026-07-30T00:16:10.889007
105,Summer Wright,retail,Store Manager,active,2024-02-23,35,2026-07-30T00:16:10.889207
106,Jeffrey Rodriguez,retail,Stock Clerk,active,2020-08-22,4,2026-07-30T00:16:10.889390
107,Philip Oconnor,retail,Stock Clerk,active,2021-11-30,39,2026-07-30T00:16:10.889610
108,Mary Cross,retail,Store Manager,active,2026-03-27,100,2026-07-30T00:16:10.889813
109,Anthony Jimenez,retail,Store Manager,active,2022-01-03,26,2026-07-30T00:16:10.890011
110,Kenneth Barnett,retail,Cashier,active,2020-02-27,60,2026-07-30T00:16:10.890210
111,Diane Floyd,retail,Store Manager,active,2016-12-03,79,2026-07-30T00:16:10.890410
112,Barbara Ramirez,retail,Stock Clerk,active,2024-08-25,107,2026-07-30T00:16:10.890623
113,Joseph Brady,retail,Stock Clerk,active,2018-05-30,,2026-07-30T00:16:10.890820
114,Alexandra Hernandez,retail,Regional Retail Lead,on_leave,2017-07-19,77,2026-07-30T00:16:10.891017
115,Lisa Delacruz,retail,Stock Clerk,terminated,2022-03-19,82,2026-07-30T00:16:10.891183
116,Alyssa Montes,retail,Stock Clerk,active,2017-11-22,3,2026-07-30T00:16:10.891338
117,Walter Pierce,retail,Stock Clerk,active,2024-05-04,92,2026-07-30T00:16:10.891490
118,Tracey Turner,retail,Stock Clerk,active,2016-06-15,67,2026-07-30T00:16:10.891655
119,Isaac Cook,retail,Stock Clerk,terminated,2026-02-26,12,2026-07-30T00:16:10.891807
120,Ellen Martin,retail,Store Manager,active,2021-11-20,18,2026-07-30T00:16:10.891963
121,Robin Cisneros,retail,Regional Retail Lead,on_leave,2021-09-07,67,2026-07-30T00:16:10.892118
122,Danny Rice,retail,Cashier,terminated,2021-10-16,52,2026-07-30T00:16:10.892270
123,Ashley Boyd,retail,Stock Clerk,active,2020-04-24,,2026-07-30T00:16:10.892424
124,Andrea Patel,retail,Store Manager,active,2021-12-10,50,2026-07-30T00:16:10.892604
125,Susan Moreno,retail,Stock Clerk,active,2024-11-28,63,2026-07-30T00:16:10.892764
126,Heather Moon,retail,Cashier,active,2026-04-16,46,2026-07-30T00:16:10.892912
127,Kristen Anderson,retail,Stock Clerk,active,2023-01-23,4,2026-07-30T00:16:10.893059
128,Jason Mejia,retail,Regional Retail Lead,active,2025-05-02,8,2026-07-30T00:16:10.893202
129,Nicholas Mccarthy,retail,Stock Clerk,active,2024-12-02,76,2026-07-30T00:16:10.893346
130,Tyler West,retail,Regional Retail Lead,active,2025-02-16,127,2026-07-30T00:16:10.893490
131,Kimberly Thomas,retail,Store Manager,active,2020-09-22,,2026-07-30T00:16:10.893648
132,Mark Pugh,retail,Cashier,active,2022-02-23,25,2026-07-30T00:16:10.893793
133,Larry Reynolds,retail,Cashier,active,2021-04-07,56,2026-07-30T00:16:10.893939
134,Shannon Williams,retail,Regional Retail Lead,active,2026-02-09,94,2026-07-30T00:16:10.894100
135,Cody Walker,retail,Cashier,active,2022-11-12,72,2026-07-30T00:16:10.894247
136,Renee Giles,retail,Store Manager,on_leave,2024-01-30,35,2026-07-30T00:16:10.894395
137,Mark Keller,retail,Cashier,active,2026-05-27,116,2026-07-30T00:16:10.894540
138,Shannon Rios,retail,Regional Retail Lead,terminated,2018-06-26,124,2026-07-30T00:16:10.894688
139,Andrew Fisher,retail,Regional Retail Lead,active,2025-04-14,133,2026-07-30T00:16:10.894833
140,Philip Yoder,retail,Stock Clerk,active,2019-04-26,3,2026-07-30T00:16:10.894979
141,Victoria Hill,retail,Cashier,active,2016-03-16,2,2026-07-30T00:16:10.895139
142,Shelley Roberson,retail,Stock Clerk,active,2019-10-02,32,2026-07-30T00:16:10.895286
143,Zachary Ali,retail,Store Manager,active,2025-03-10,10,2026-07-30T00:16:10.895431
144,Christine Davis,retail,Cashier,on_leave,2026-01-07,142,2026-07-30T00:16:10.895578
145,Priscilla Kelly,retail,Cashier,active,2020-11-03,24,2026-07-30T00:16:10.895726
146,Thomas Martinez,retail,Regional Retail Lead,active,2026-02-17,97,2026-07-30T00:16:10.895871
147,Christine Decker,retail,Stock Clerk,active,2023-06-29,,2026-07-30T00:16:10.896017
148,Karl Coleman,retail,Cashier,active,2025-02-01,18,2026-07-30T00:16:10.896432
149,Grace Jones,retail,Cashier,active,2026-02-05,3,2026-07-30T00:16:10.896659
150,Thomas Daniels,retail,Cashier,active,2021-07-21,139,2026-07-30T00:16:10.896819
151,Christine Sanders,retail,Stock Clerk,active,2023-07-14,12,2026-07-30T00:16:10.896973
152,Dennis Robertson,retail,Cashier,active,2024-10-02,60,2026-07-30T00:16:10.897138
153,Larry Edwards,retail,Stock Clerk,active,2016-07-30,,2026-07-30T00:16:10.897286
154,Peter Kelly,retail,Store Manager,on_leave,2021-03-09,24,2026-07-30T00:16:10.897432
155,Amanda Johnson,retail,Store Manager,active,2017-08-20,2,2026-07-30T00:16:10.897583
156,Paul Hobbs,retail,Cashier,active,2017-10-27,,2026-07-30T00:16:10.897728
157,Victoria Smith,retail,Regional Retail Lead,active,2026-04-09,97,2026-07-30T00:16:10.897877
158,Ashley Murphy,retail,Regional Retail Lead,active,2024-10-15,46,2026-07-30T00:16:10.898026
159,Jane Thomas,retail,Regional Retail Lead,active,2022-01-23,11,2026-07-30T00:16:10.898189
160,Charles Harvey,retail,Regional Retail Lead,active,2024-04-19,135,2026-07-30T00:16:10.898340
161,Paul Flores Jr.,retail,Regional Retail Lead,active,2020-03-04,5,2026-07-30T00:16:10.898507
162,Sarah Potter,retail,Regional Retail Lead,active,2021-01-29,,2026-07-30T00:16:10.898657
163,Ashley Jackson,retail,Stock Clerk,active,2016-04-24,,2026-07-30T00:16:10.898805
164,Mrs. Katherine York,retail,Stock Clerk,on_leave,2017-05-31,74,2026-07-30T00:16:10.898963
165,Shawn Downs,retail,Store Manager,active,2021-01-02,86,2026-07-30T00:16:10.899124
166,William Rivera,retail,Stock Clerk,active,2021-06-05,48,2026-07-30T00:16:10.899271
167,Katie Anderson,retail,Stock Clerk,on_leave,2016-05-07,139,2026-07-30T00:16:10.899422
168,Michelle Smith,retail,Cashier,active,2019-04-24,164,2026-07-30T00:16:10.899587
169,Tyler Lee,retail,Store Manager,active,2026-06-20,85,2026-07-30T00:16:10.899799
170,Tami Chang,retail,Store Manager,active,2018-02-03,75,2026-07-30T00:16:10.899957
171,John Brown,retail,Store Manager,active,2023-03-31,49,2026-07-30T00:16:10.900105
172,Sheila Smith,retail,Regional Retail Lead,active,2017-05-26,27,2026-07-30T00:16:10.900256
173,Kristen Joseph,retail,Store Manager,active,2016-07-10,12,2026-07-30T00:16:10.900404
174,Desiree Dennis,retail,Regional Retail Lead,active,2016-03-12,68,2026-07-30T00:16:10.900574
175,Carrie Robinson,retail,Stock Clerk,active,2025-10-06,95,2026-07-30T00:16:10.900726
176,Dillon Williams MD,retail,Regional Retail Lead,active,2022-03-08,138,2026-07-30T00:16:10.900885
177,Ashley Johnson,retail,Cashier,terminated,2020-10-18,112,2026-07-30T00:16:10.901035
178,Zachary Snow,retail,Store Manager,active,2021-08-18,3,2026-07-30T00:16:10.901182
179,Wendy Cole,retail,Cashier,active,2021-12-25,95,2026-07-30T00:16:10.901331
180,Jennifer Love,retail,Stock Clerk,active,2018-08-03,45,2026-07-30T00:16:10.901482
181,Michael Parker,retail,Store Manager,active,2020-08-16,133,2026-07-30T00:16:10.901648
182,Stephanie Ibarra,retail,Cashier,active,2023-06-09,,2026-07-30T00:16:10.901801
183,Dr. Michelle Freeman MD,retail,Regional Retail Lead,active,2020-01-21,86,2026-07-30T00:16:10.901972
184,Susan Ruiz,retail,Store Manager,active,2025-09-09,99,2026-07-30T00:16:10.902121
185,Thomas Brown,retail,Regional Retail Lead,on_leave,2016-04-18,47,2026-07-30T00:16:10.902268
186,Mr. Brandon West,retail,Store Manager,active,2017-10-14,42,2026-07-30T00:16:10.902425
187,Jason Acevedo,retail,Store Manager,on_leave,2024-09-18,162,2026-07-30T00:16:10.902584
188,Leah Valentine,retail,Regional Retail Lead,active,2025-05-25,167,2026-07-30T00:16:10.902736
189,Douglas Preston,retail,Cashier,active,2021-10-25,5,2026-07-30T00:16:10.902884
190,Lisa Underwood,retail,Regional Retail Lead,active,2022-05-23,,2026-07-30T00:16:10.903032
191,Gary Allen,retail,Regional Retail Lead,active,2019-09-08,25,2026-07-30T00:16:10.903179
192,David Cantrell,retail,Cashier,active,2017-04-01,171,2026-07-30T00:16:10.903327
193,Christina Crawford,retail,Regional Retail Lead,active,2025-02-26,,2026-07-30T00:16:10.903474
194,Adam Johnson,retail,Regional Retail Lead,active,2024-06-16,,2026-07-30T00:16:10.903618
195,Stephanie Diaz,retail,Stock Clerk,on_leave,2024-07-26,175,2026-07-30T00:16:10.903768
196,John Vasquez,retail,Regional Retail Lead,active,2022-07-26,,2026-07-30T00:16:10.903913
197,Andrew Jones,retail,Stock Clerk,active,2020-10-09,148,2026-07-30T00:16:10.904061
198,Brittany Watkins,retail,Cashier,active,2025-10-24,27,2026-07-30T00:16:10.904232
199,Scott Delgado,retail,Store Manager,active,2019-08-30,101,2026-07-30T00:16:10.904378
200,Sharon Newton,retail,Cashier,terminated,2017-12-30,187,2026-07-30T00:16:10.904528
201,Andrew Murphy,retail,Regional Retail Lead,active,2016-10-02,119,2026-07-30T00:16:10.904675
202,Sean Huffman,retail,Cashier,active,2022-10-31,,2026-07-30T00:16:10.904822
203,Samantha Doyle,retail,Store Manager,on_leave,2021-04-02,119,2026-07-30T00:16:10.904971
204,Laura Green,retail,Regional Retail Lead,active,2022-08-22,189,2026-07-30T00:16:10.905129
205,Michelle Lester,retail,Cashier,terminated,2022-09-27,8,2026-07-30T00:16:10.905279
206,Peter Garrett,retail,Store Manager,active,2018-07-17,203,2026-07-30T00:16:10.905424
207,Brandon Davis,retail,Regional Retail Lead,on_leave,2020-12-22,,2026-07-30T00:16:10.905569
208,Dr. Amy Lee MD,retail,Regional Retail Lead,active,2024-06-01,100,2026-07-30T00:16:10.905740
209,Matthew Howe MD,retail,Stock Clerk,active,2023-01-31,15,2026-07-30T00:16:10.905899
210,Kari Singleton,retail,Cashier,active,2024-04-28,5,2026-07-30T00:16:10.906048
211,Carol Williams,retail,Cashier,on_leave,2020-08-31,174,2026-07-30T00:16:10.906206
212,Molly Nguyen DDS,retail,Stock Clerk,active,2023-08-26,127,2026-07-30T00:16:10.906365
213,Jeanne May,retail,Cashier,active,2025-05-16,,2026-07-30T00:16:10.906512
214,Claire Turner,retail,Regional Retail Lead,on_leave,2017-04-23,84,2026-07-30T00:16:10.906659
215,Alicia Gonzalez,retail,Regional Retail Lead,active,2024-03-12,66,2026-07-30T00:16:10.906808
216,Michael Brandt,retail,Regional Retail Lead,active,2019-06-16,207,2026-07-30T00:16:10.906953
217,Anthony Hendricks,retail,Regional Retail Lead,active,2021-11-25,,2026-07-30T00:16:10.907118
218,Michelle Tucker DVM,retail,Regional Retail Lead,active,2023-01-23,144,2026-07-30T00:16:10.907278
219,Carly Johnson,retail,Stock Clerk,active,2023-11-05,132,2026-07-30T00:16:10.907425
220,Frank Riggs,retail,Stock Clerk,active,2018-11-06,78,2026-07-30T00:16:10.907571
221,Michael Woods,retail,Store Manager,terminated,2017-02-10,5,2026-07-30T00:16:10.907717
222,Michael Kim,retail,Stock Clerk,active,2025-12-27,169,2026-07-30T00:16:10.907863
223,Janice Davis,retail,Stock Clerk,active,2025-06-05,210,2026-07-30T00:16:10.908010
224,Michael Meza,retail,Cashier,active,2025-04-13,5,2026-07-30T00:16:10.908166
225,Joanne Hill,retail,Cashier,active,2019-03-17,12,2026-07-30T00:16:10.908314
226,Seth Sanders,retail,Stock Clerk,active,2017-12-16,195,2026-07-30T00:16:10.908459
227,Mrs. Kimberly Kane,retail,Stock Clerk,active,2025-02-26,2,2026-07-30T00:16:10.908616
228,Jennifer Padilla,retail,Cashier,active,2016-03-14,,2026-07-30T00:16:10.908763
229,Antonio Murphy,retail,Store Manager,active,2024-09-24,180,2026-07-30T00:16:10.908908
230,Erica Ramsey,retail,Regional Retail Lead,active,2017-04-02,18,2026-07-30T00:16:10.909056
231,Brian Smith,retail,Stock Clerk,active,2017-03-27,217,2026-07-30T00:16:10.909215
232,Richard Aguilar,retail,Stock Clerk,active,2020-04-15,105,2026-07-30T00:16:10.909359
233,Scott Hall,retail,Cashier,on_leave,2019-12-30,,2026-07-30T00:16:10.909501
234,Susan Travis,retail,Cashier,active,2017-10-19,191,2026-07-30T00:16:10.909666
235,Cody Hanna,retail,Regional Retail Lead,active,2020-03-13,116,2026-07-30T00:16:10.909813
236,Aaron Buck,retail,Stock Clerk,active,2020-03-31,,2026-07-30T00:16:10.909957
237,Craig Rogers,retail,Stock Clerk,active,2025-04-12,158,2026-07-30T00:16:10.910103
238,Carly Anthony,retail,Stock Clerk,on_leave,2025-01-29,174,2026-07-30T00:16:10.910251
239,Robert Hill,retail,Regional Retail Lead,active,2016-04-24,,2026-07-30T00:16:10.910395
240,Darin Jackson,retail,Cashier,active,2021-07-08,,2026-07-30T00:16:10.910538
241,Brittney Dixon,retail,Cashier,active,2022-07-06,200,2026-07-30T00:16:10.910697
242,Karen Sanford,retail,Stock Clerk,active,2023-08-26,194,2026-07-30T00:16:10.910853
243,Matthew Schneider,retail,Stock Clerk,active,2021-05-26,70,2026-07-30T00:16:10.911000
244,April Mitchell,retail,Regional Retail Lead,active,2023-09-07,174,2026-07-30T00:16:10.911148
245,Heather Clark,retail,Stock Clerk,active,2026-04-07,76,2026-07-30T00:16:10.911421
246,Erik Shepherd,retail,Stock Clerk,terminated,2024-03-14,70,2026-07-30T00:16:10.911758
247,Mary Washington,retail,Cashier,active,2024-09-17,86,2026-07-30T00:16:10.911999
248,Joe Allen,retail,Regional Retail Lead,active,2016-12-26,31,2026-07-30T00:16:10.912162
249,Joseph Petersen,retail,Regional Retail Lead,active,2023-12-23,29,2026-07-30T00:16:10.912312
250,Emily Randall,retail,Stock Clerk,terminated,2019-09-29,13,2026-07-30T00:16:10.912480
251,Brian Roman,retail,Stock Clerk,active,2021-03-26,197,2026-07-30T00:16:10.912628
252,Kevin Bryan,retail,Stock Clerk,active,2020-07-04,93,2026-07-30T00:16:10.912777
253,Brandon Herrera,retail,Store Manager,active,2022-12-30,60,2026-07-30T00:16:10.912923
254,Jeanne Griffin MD,retail,Cashier,active,2025-11-20,239,2026-07-30T00:16:10.913083
255,Jacob Thomas,retail,Stock Clerk,active,2019-07-27,9,2026-07-30T00:16:10.913228
256,Karen Garcia,retail,Cashier,active,2021-11-10,171,2026-07-30T00:16:10.913387
257,Briana French,retail,Stock Clerk,terminated,2021-12-13,1,2026-07-30T00:16:10.913536
258,David Turner,retail,Regional Retail Lead,active,2016-11-25,138,2026-07-30T00:16:10.913683
259,Anna Wiggins,retail,Cashier,active,2019-04-10,96,2026-07-30T00:16:10.913833
260,David Perry,retail,Stock Clerk,active,2019-01-09,211,2026-07-30T00:16:10.913980
261,Theresa Black,retail,Cashier,active,2018-01-24,,2026-07-30T00:16:10.914127
262,April Gallegos,retail,Regional Retail Lead,active,2016-11-03,,2026-07-30T00:16:10.914274
263,Jonathan West,retail,Stock Clerk,active,2022-09-22,260,2026-07-30T00:16:10.914435
264,Paula Saunders,retail,Cashier,active,2017-03-19,192,2026-07-30T00:16:10.914584
265,Annette Tucker,retail,Store Manager,active,2020-09-05,164,2026-07-30T00:16:10.914731
266,Shelley Reyes,retail,Store Manager,active,2024-05-18,,2026-07-30T00:16:10.914886
267,Melanie Douglas,retail,Store Manager,active,2019-10-21,63,2026-07-30T00:16:10.915036
268,John Brown,retail,Store Manager,active,2019-08-26,,2026-07-30T00:16:10.915182
269,Jeffrey Lyons,retail,Cashier,active,2020-11-18,9,2026-07-30T00:16:10.915328
270,Jake Lambert,retail,Stock Clerk,active,2018-06-25,225,2026-07-30T00:16:10.915481
271,Jessica Wade,retail,Regional Retail Lead,active,2020-01-15,66,2026-07-30T00:16:10.915632
272,Cynthia Jones,retail,Cashier,active,2026-05-21,86,2026-07-30T00:16:10.915783
273,Mark Smith,retail,Store Manager,active,2017-04-15,272,2026-07-30T00:16:10.915941
274,David Sanchez,retail,Regional Retail Lead,active,2026-01-17,127,2026-07-30T00:16:10.916093
275,Jared Johnson PhD,retail,Cashier,active,2019-04-27,,2026-07-30T00:16:10.916255
276,Jennifer Watts,retail,Store Manager,active,2022-11-05,,2026-07-30T00:16:10.916405
277,Rebecca George MD,retail,Regional Retail Lead,active,2026-05-31,133,2026-07-30T00:16:10.916567
278,Benjamin Richardson,retail,Regional Retail Lead,active,2018-05-14,88,2026-07-30T00:16:10.916716
279,Darlene Williams,retail,Stock Clerk,active,2018-11-03,190,2026-07-30T00:16:10.916880
280,Sara Decker,retail,Cashier,active,2017-07-20,55,2026-07-30T00:16:10.917034
281,Robin Hayes,retail,Store Manager,active,2016-08-09,,2026-07-30T00:16:10.917183
282,Victoria Osborne,retail,Store Manager,on_leave,2016-07-12,248,2026-07-30T00:16:10.917334
283,Stephanie Ho,retail,Cashier,active,2024-03-22,43,2026-07-30T00:16:10.917485
284,Kevin Johnson,retail,Regional Retail Lead,active,2018-03-30,153,2026-07-30T00:16:10.917632
285,Keith Lloyd,retail,Regional Retail Lead,active,2019-10-14,112,2026-07-30T00:16:10.917784
286,Jeffrey Sutton,retail,Store Manager,active,2020-03-25,255,2026-07-30T00:16:10.917943
287,Paula Boone,retail,Stock Clerk,active,2021-06-24,167,2026-07-30T00:16:10.918093
288,Jesse Cunningham II,retail,Stock Clerk,terminated,2024-02-08,79,2026-07-30T00:16:10.918257
289,Cynthia Gonzales,retail,Store Manager,active,2022-05-15,15,2026-07-30T00:16:10.918408
290,William Salazar,retail,Regional Retail Lead,on_leave,2026-05-23,122,2026-07-30T00:16:10.918556
