customer_id,full_name,date_of_birth,primary_contact,registered_country,consent_retail_personalisation,consent_cross_division_financial_view,created_date
104,Matthew Rivera,1971-12-09,+234790153387,Nigeria,True,False,2020-07-20
105,Belinda Mccullough,1985-01-31,+234802820253,Nigeria,False,False,2019-09-21
106,Jason Powell,1970-09-11,+234788820296,Nigeria,True,False,2021-04-27
107,Cheryl Ortega,1976-05-17,+233804549384,Ghana,False,False,2019-03-22
108,Stephanie Gilbert,1971-01-21,+233905512728,Ghana,True,False,2022-12-11
109,Roy Torres,1964-11-17,+234804686243,Nigeria,False,False,2023-09-13
110,Kevin Pena,1982-03-21,+234897201829,Nigeria,True,False,2021-06-22
111,Michael Dixon,2004-08-03,+234773265515,Nigeria,True,True,2022-10-08
112,Rebecca Jackson,1956-05-06,+234808532929,Nigeria,False,False,2020-06-06
113,Matthew Harvey,1956-12-06,+254843377721,Kenya,True,False,2025-04-30
114,Nicole Chambers,1965-11-11,+234722534474,Nigeria,True,True,2024-03-06
115,Brittany Williams,1982-11-28,+234769835178,Nigeria,True,True,2022-08-31
116,Patricia Gibson,1993-06-06,+234801770918,Nigeria,True,False,2023-09-23
117,Michelle Cruz,1977-10-09,+234721986536,Nigeria,True,False,2019-08-02
118,Matthew Smith,2001-09-05,+254793941764,Kenya,True,True,2026-04-23
119,Stacey Osborne,1965-06-20,+234708329551,Nigeria,False,True,2019-03-25
120,Tyler Holmes,1953-12-29,+234764033920,Nigeria,True,False,2025-04-29
121,Sylvia Martinez,1959-08-26,+254824831609,Kenya,False,False,2020-11-18
122,Mary Travis,1991-02-05,+234900769763,Nigeria,False,False,2020-11-01
123,Pedro Ramos,2006-01-14,+254729017537,Kenya,True,False,2025-06-16
124,Kathy Rivas,1987-11-10,+234800745694,Nigeria,True,False,2019-11-08
125,Christopher Hensley,1981-03-15,+234868374098,Nigeria,True,False,2022-05-20
126,David Walsh,2002-09-09,+233861171765,Ghana,False,False,2025-05-07
127,Kari Allen,1980-07-05,+233793201800,Ghana,True,False,2019-10-10
128,Dustin Nelson,1972-05-01,+234791598546,Nigeria,True,False,2024-06-30
129,Angela Hernandez,1976-08-22,+234797224110,Nigeria,True,False,2020-09-18
130,Michelle Brown,1978-04-24,+234896976676,Nigeria,True,False,2025-11-27
131,John Brown,2007-04-03,+233844464689,Ghana,False,False,2025-08-23
132,Taylor Silva,1997-11-27,+234765899606,Nigeria,False,True,2024-01-21
133,Spencer Johnston,1983-01-13,+234824744229,Nigeria,True,False,2022-10-09
134,Guy Molina,2007-06-13,+234787245326,Nigeria,True,True,2021-11-24
135,Paul Payne,1991-08-17,+234860029140,Nigeria,False,True,2019-02-11
136,Katherine Nelson,1983-08-16,+234751286319,Nigeria,True,False,2024-06-24
137,George Shelton,1978-02-02,+234764511464,Nigeria,False,False,2024-07-03
138,Sara Calhoun,1992-12-02,+234704628703,Nigeria,True,True,2021-09-23
139,Susan Vargas,1995-09-10,+234856110139,Nigeria,True,False,2022-11-09
140,Marvin Taylor,1981-12-29,+234900235518,Nigeria,True,False,2024-02-02
141,David Murphy,1981-07-08,+234767485660,Nigeria,True,False,2022-07-16
142,Philip Gray,2001-10-01,+234843844886,Nigeria,False,False,2021-02-23
143,Jennifer Conley,1982-07-31,+234829976068,Nigeria,True,False,2024-11-18
144,Joshua Cooke,1974-05-23,+234726984771,Nigeria,False,True,2023-01-18
145,Barry Bernard,1953-04-25,+234703797922,Nigeria,False,True,2019-07-06
146,Tiffany Gonzalez,1951-12-18,+254848541166,Kenya,True,False,2026-02-25
147,Cynthia Wells,1958-05-12,+233831769247,Ghana,True,True,2022-03-10
148,Claudia Lyons,2002-10-06,+234818237443,Nigeria,True,False,2021-10-31
149,Larry Stuart,1999-06-17,+254828239453,Kenya,True,True,2024-07-07
150,Robert Oconnell,1957-12-06,+234868965544,Nigeria,False,True,2025-04-24
151,Tanya Johnston,1976-02-12,+254722865574,Kenya,False,True,2023-09-01
152,Miguel Jones,1997-07-28,+234866005412,Nigeria,True,False,2024-01-20
153,Dana Terry,1971-02-05,+254779820122,Kenya,False,False,2022-06-04
154,Lindsay Martinez,1989-02-01,+234716167949,Nigeria,True,False,2021-05-01
155,Hannah Patterson,1975-10-17,+234771040403,Nigeria,False,True,2020-12-12
156,Matthew Smith,1979-02-28,+234742018905,Nigeria,True,False,2025-08-29
157,Ashley Yu,1993-10-29,+234708761695,Nigeria,True,False,2024-02-03
158,Julia Hernandez,1962-07-24,+234762659224,Nigeria,False,False,2026-01-04
159,Tracie Nelson,2005-07-28,+234753101691,Nigeria,True,False,2026-04-06
160,Patricia Marshall,2006-10-07,+234771305173,Nigeria,False,True,2020-11-10
161,Debra Christian,2007-02-08,+233859730916,Ghana,False,False,2022-03-28
162,Diana Hayes,2001-08-24,+234825815152,Nigeria,False,False,2022-01-20
163,Leonard Gray,1952-07-12,+234832552144,Nigeria,True,False,2023-11-05
164,Frederick Freeman MD,1968-02-27,+233862058147,Ghana,True,True,2025-06-14
165,Spencer Haynes,1969-05-17,+234705568815,Nigeria,False,False,2022-01-08
166,Kellie Lee,1966-12-31,+234904845512,Nigeria,False,False,2026-04-22
167,Katherine Chang,1997-07-28,+234774667087,Nigeria,True,False,2026-02-13
168,Michael West,1951-10-01,+233724492696,Ghana,True,False,2022-08-08
169,Daniel Holt,1971-05-31,+234743171093,Nigeria,True,False,2022-03-26
170,Jackie Tran,1973-12-20,+234807495582,Nigeria,False,False,2024-02-06
171,Patrick Rivera,1998-05-28,+234767752800,Nigeria,True,False,2023-07-14
172,Eric Hall,1999-08-29,+233700308986,Ghana,False,False,2023-08-20
173,Bryan Herrera,2002-06-11,+234839167515,Nigeria,True,False,2026-01-05
174,Cheryl Rodgers,1969-05-23,+234713854431,Nigeria,True,False,2022-03-25
175,Vanessa Warren,1969-10-31,+234887435065,Nigeria,True,True,2026-01-24
176,Dr. Elizabeth Ward,1971-02-22,+234764235923,Nigeria,False,False,2019-02-26
177,Joseph Hill,1954-04-15,+234725020655,Nigeria,True,False,2020-04-09
178,Melissa Martinez,2001-10-20,+234731532078,Nigeria,True,True,2022-04-10
179,Shane Andrews MD,1980-07-19,+234773396936,Nigeria,True,False,2024-04-18
180,Vincent King,1983-02-01,+234847979092,Nigeria,True,True,2025-09-21
181,Austin Vasquez,1989-11-03,+234736643679,Nigeria,False,True,2023-08-27
182,Amy Hernandez,1988-11-16,+234836294795,Nigeria,True,True,2022-05-07
183,Angela Wright,1988-07-20,+233855671996,Ghana,False,False,2020-08-31
184,Lisa Gibbs,1965-12-07,+234830014401,Nigeria,True,False,2025-02-03
185,Jamie Kerr,1970-10-23,+234786376449,Nigeria,False,False,2021-09-05
186,Wanda Torres,1992-11-01,+234762696440,Nigeria,False,False,2022-07-27
187,Tyler Garcia,2002-06-24,+233889308167,Ghana,False,False,2026-06-11
188,Daniel Guerrero,1961-04-06,+233875025017,Ghana,False,False,2019-06-01
189,Juan Moore,1978-05-17,+234858425352,Nigeria,True,True,2023-12-09
190,Kirk Carter,1966-04-30,+234822655697,Nigeria,True,True,2026-05-05
191,Douglas Heath,1955-06-03,+254720086555,Kenya,True,False,2022-10-18
192,Tammy French,1993-02-09,+234806698617,Nigeria,True,False,2024-12-25
193,Regina Gonzalez,1958-05-21,+234785003081,Nigeria,True,False,2024-06-21
194,Maria Kerr,2006-10-30,+233709636591,Ghana,True,True,2022-03-23
195,Anthony Sparks,1991-01-25,+254900458570,Kenya,True,False,2026-02-08
196,Laura Roberts,1959-01-14,+233726979706,Ghana,True,False,2019-04-29
197,Eric Powell,1969-02-06,+234715064390,Nigeria,True,False,2020-08-19
198,Katherine Miller,1953-04-15,+234810609298,Nigeria,True,False,2020-11-27
199,Morgan Munoz,1952-05-02,+234863609205,Nigeria,False,False,2021-09-13
200,Vernon Huff,1989-09-19,+234856540051,Nigeria,True,False,2021-11-06
201,Alicia Hubbard,2006-06-22,+234879003692,Nigeria,True,False,2022-03-24
202,Andrew Avila,1982-08-05,+234742406259,Nigeria,True,False,2025-08-03
203,Jessica Ramirez,1990-05-29,+234813899563,Nigeria,False,False,2022-05-22
204,Robert Costa,1982-07-24,+234803265306,Nigeria,False,True,2023-04-12
205,Gary Santiago,1961-07-09,+234854299903,Nigeria,True,False,2019-03-31
206,Michael Roberts,1977-10-29,+254876692221,Kenya,True,True,2019-07-20
207,Krista Gibson,1971-12-24,+254900030627,Kenya,True,False,2022-03-18
208,Brian Barton,1985-08-05,+233761771935,Ghana,True,False,2026-02-20
209,April Booth,1982-01-05,+234767277118,Nigeria,False,False,2026-05-24
210,Cody Cox,2002-01-19,+234736716396,Nigeria,True,False,2026-04-01
211,Mr. Anthony Adams Jr.,1970-03-06,+234818332575,Nigeria,True,False,2020-06-22
212,Michael Martinez,1993-06-13,+234779218109,Nigeria,True,False,2021-04-02
213,Cynthia Moore,1988-01-23,+234844796166,Nigeria,False,False,2024-08-17
214,Jason Walker,2007-11-01,+254744169557,Kenya,True,False,2024-05-27
215,Julia Wilson,2007-03-16,+254779226429,Kenya,False,False,2020-04-16
216,Timothy Carter,1998-07-31,+234720213018,Nigeria,True,False,2023-06-16
217,Ruben Baird,1967-02-28,+254849602467,Kenya,True,False,2019-02-27
218,Charles Lee,1991-05-13,+234733175598,Nigeria,True,False,2021-12-09
219,Sherry Shields,1969-05-17,+234871409263,Nigeria,False,True,2021-08-15
220,Sarah Morgan,2004-03-06,+234866308344,Nigeria,False,False,2025-11-03
221,Samantha Campbell,1970-11-22,+234716969694,Nigeria,True,False,2022-05-22
222,Lauren Keller,1960-09-08,+234731319958,Nigeria,True,False,2022-05-31
223,John Cook,2002-06-28,+254731170854,Kenya,True,False,2020-07-09
224,Jordan Morris,1963-05-31,+234799592645,Nigeria,False,False,2025-01-21
225,Mrs. Janet Chase,1978-07-12,+234899251320,Nigeria,False,False,2026-05-06
226,Patrick Thornton,2005-10-16,+234831358094,Nigeria,True,False,2022-02-19
227,William Sparks,1994-12-12,+234799463379,Nigeria,True,False,2021-08-25
228,Mrs. Amanda Shaw,1990-09-27,+233726670303,Ghana,False,False,2026-03-26
229,Brian Kirk,1957-05-12,+234806874796,Nigeria,True,False,2024-02-06
230,Joyce Bowen,1978-06-23,+234756936721,Nigeria,True,False,2019-03-29
231,Tracy Jones,2003-10-04,+234789525682,Nigeria,True,True,2025-05-01
232,Gina Schwartz,1994-10-18,+234905395368,Nigeria,True,False,2021-08-12
233,Gary Craig,1986-11-21,+234739608772,Nigeria,False,False,2022-02-09
234,Eugene Higgins,2002-04-03,+233738839383,Ghana,False,False,2020-12-15
235,Joshua Williamson II,1997-02-23,+234706920307,Nigeria,True,False,2021-09-01
236,Yolanda Francis,1980-02-09,+234704236202,Nigeria,True,True,2023-09-21
237,Paige Padilla,1957-06-01,+234900162999,Nigeria,True,False,2023-01-22
238,Michael Berger,1953-09-15,+234729273962,Nigeria,True,True,2025-11-24
239,Anthony Howard,1979-11-19,+234876872947,Nigeria,True,False,2019-05-08
240,Joseph Knight,2004-07-04,+234828575726,Nigeria,False,False,2020-03-18
241,Christopher Lynch,1976-08-10,+234819067856,Nigeria,True,True,2025-10-27
242,Cynthia Durham,1960-04-25,+234733874296,Nigeria,True,False,2025-02-24
243,Mark Stevens,1995-12-15,+233802248244,Ghana,False,False,2024-02-02
244,Robert Santana,1996-09-08,+234815480752,Nigeria,True,False,2026-05-05
245,Angela Landry,1990-07-24,+234906416861,Nigeria,True,False,2023-10-28
246,Victor Vaughn,1981-08-30,+234761335777,Nigeria,True,False,2023-06-22
247,Christina Cruz,1983-06-17,+234725524410,Nigeria,True,False,2021-11-10
248,James Howard,1970-09-16,+234740973698,Nigeria,False,False,2020-01-09
249,Elizabeth Spence DDS,1969-04-03,+233725026264,Ghana,True,False,2023-03-07
250,Sean Osborne,1953-11-30,+233849349632,Ghana,True,False,2025-04-19
251,Natasha Wall,1970-01-19,+234732811210,Nigeria,True,False,2023-09-29
252,Crystal Pham,1965-06-24,+233893558252,Ghana,True,True,2022-07-03
253,Lisa Byrd,1999-08-20,+234855133820,Nigeria,True,True,2024-05-29
254,Melanie Taylor,1957-03-10,+234729049651,Nigeria,True,False,2020-04-15
255,Maria Parker,1980-07-28,+233854108797,Ghana,True,False,2025-04-16
256,Jacob Anderson,1970-08-29,+254866892712,Kenya,True,False,2019-04-18
257,Jason Gonzalez,2004-02-05,+234876585225,Nigeria,False,True,2021-01-08
258,Valerie Schmidt,1969-02-13,+234904657746,Nigeria,True,False,2019-01-26
259,Dawn Summers,1983-05-14,+234738453779,Nigeria,True,False,2020-08-04
260,Elizabeth Harrell,2005-04-21,+233708229452,Ghana,True,False,2023-03-21
261,Victor Taylor,1965-12-05,+234791508569,Nigeria,True,False,2022-08-21
262,Misty Whitney,2008-02-17,+233852362234,Ghana,True,False,2020-09-29
263,Holly Gibbs,1951-07-10,+234865849674,Nigeria,True,True,2023-12-20
264,Caleb Richardson,2001-07-18,+234830368821,Nigeria,True,False,2021-06-01
265,Lauren Carson,1975-11-09,+233730552654,Ghana,True,True,2025-08-26
266,David Johnson,1988-10-11,+234879082033,Nigeria,True,True,2025-09-20
267,Leonard Holland,1993-10-25,+234754874415,Nigeria,True,True,2020-07-16
268,Susan Turner,1978-05-12,+233777697872,Ghana,True,True,2023-10-30
269,Andrew Johnson,1984-02-06,+234802061158,Nigeria,True,True,2025-04-07
270,David Medina,1977-01-08,+233795071026,Ghana,True,False,2019-06-23
271,Michael Paul,1987-05-03,+234823414341,Nigeria,False,False,2025-06-16
272,Patrick Moore,1978-10-23,+234808561440,Nigeria,False,False,2020-04-16
273,Sandra Gilbert,1969-08-11,+234787179295,Nigeria,True,False,2024-02-28
274,Jacob Ramos,1966-08-23,+233797134092,Ghana,True,False,2021-09-23
275,Ariana Jennings,1987-08-17,+234807494928,Nigeria,True,False,2022-06-24
276,Maria Brown,1969-05-08,+233759477796,Ghana,True,True,2024-09-21
277,Bryan Charles,1981-07-09,+234842433147,Nigeria,True,False,2022-12-02
278,Daniel Fowler,1952-01-11,+234873259778,Nigeria,False,True,2020-08-22
279,Gavin Zhang,2004-02-17,+234746573289,Nigeria,True,False,2026-05-08
280,Andrea Hubbard,1964-09-02,+234907459829,Nigeria,True,False,2025-04-28
281,Robin Hall,2003-04-10,+233820502087,Ghana,False,False,2026-03-18
282,Steven Smith,1960-06-03,+234867643788,Nigeria,True,False,2022-07-18
283,Ms. Rebecca Rodriguez,1952-04-30,+234718330453,Nigeria,True,False,2022-01-30
284,Hunter Kramer,1990-08-25,+234794473770,Nigeria,True,False,2024-01-26
285,Christopher Williams,2001-01-18,+234798982245,Nigeria,False,True,2020-01-05
286,Brian Brown,1981-01-29,+234836114981,Nigeria,True,False,2019-06-18
287,Kayla Rodriguez,1984-11-10,+234853452923,Nigeria,False,False,2024-05-02
288,Luis Acosta,1995-06-01,+234716609095,Nigeria,True,False,2022-11-07
289,Judith Maynard,1954-09-18,+254722636928,Kenya,True,True,2021-10-11
290,Dr. Jessica Rodriguez DDS,1980-10-04,+233817956389,Ghana,True,False,2023-01-30
291,Bobby Franklin,1955-01-17,+234775938667,Nigeria,True,False,2025-09-14
292,Marcus Richards,1999-01-14,+234869352325,Nigeria,True,True,2020-01-23
293,Zachary Schmidt,1981-06-14,+234803767538,Nigeria,True,False,2026-05-13
294,Jessica Mcguire,1958-05-12,+254861786267,Kenya,False,False,2025-07-14
295,Marilyn Mack,1999-08-18,+234793904302,Nigeria,True,False,2026-06-05
296,Jessica Beasley,1978-09-26,+234859730162,Nigeria,False,True,2025-04-08
297,Jesse Perry,1957-01-17,+234788174753,Nigeria,False,False,2024-11-26
298,Erik Scott,1960-12-17,+234879974172,Nigeria,True,False,2023-01-25
299,Kara Davis,1956-05-20,+234757496905,Nigeria,True,False,2021-02-25
300,Brent Rodgers,2005-10-25,+234736927419,Nigeria,True,True,2020-02-19
301,Anthony Frye,1988-10-18,+234844893609,Nigeria,False,False,2019-06-04
302,Bryan Gomez,1995-11-08,+234905704131,Nigeria,True,False,2020-09-23
303,Jenny Moon,1954-01-28,+234885984335,Nigeria,False,False,2020-11-09
304,Lindsay Bell,1989-11-26,+233711728597,Ghana,True,False,2021-08-30
305,Brittney Olson,2008-03-26,+254863905460,Kenya,True,False,2024-01-13
306,Ryan Richardson,2002-06-21,+234764201304,Nigeria,True,False,2024-04-05
307,Darrell Patterson,1988-09-30,+254752080821,Kenya,True,False,2023-12-10
308,Sabrina Austin,1994-04-24,+234775637522,Nigeria,False,False,2023-09-11
309,Lisa Barrett,1997-10-07,+254753605951,Kenya,False,True,2021-10-21
310,Christopher Park,1971-08-08,+234829007571,Nigeria,False,False,2020-02-25
311,Heather White,1960-04-28,+233838488371,Ghana,False,True,2020-10-18
312,Jennifer Thomas,1993-08-30,+234837802076,Nigeria,True,False,2021-06-28
313,Anna Moreno,1976-03-05,+233793841028,Ghana,False,False,2023-06-12
314,Glen Wood,1999-09-06,+234763291194,Nigeria,True,True,2021-07-08
315,Todd Carlson,1954-02-26,+234726597423,Nigeria,False,False,2020-08-21
316,Paul Williams,1956-02-16,+234777008601,Nigeria,False,False,2020-07-22
317,Matthew Tucker,1980-08-28,+233825925791,Ghana,True,True,2019-11-21
318,Daniel Hunt,1974-01-24,+234757889378,Nigeria,False,False,2025-10-29
319,Douglas Gregory,1983-09-10,+234729846495,Nigeria,False,True,2020-05-14
320,Elizabeth Walker,1991-05-12,+234812696060,Nigeria,True,False,2019-09-15
321,Dan Dougherty,2002-10-17,+234834171884,Nigeria,True,True,2024-10-11
322,David Murphy,1951-02-07,+234892882775,Nigeria,True,False,2025-11-23
323,Jeffrey Anderson MD,1966-03-27,+234853186375,Nigeria,True,False,2019-12-17
324,Sandra Drake,1955-06-25,+234796798834,Nigeria,True,False,2024-09-09
325,Patrick Graham,1981-11-11,+233836263901,Ghana,True,False,2024-04-09
326,Shannon Johnston,1989-08-05,+234803852662,Nigeria,False,True,2019-03-08
327,Mark Roberts,1978-02-20,+234718135380,Nigeria,True,False,2026-01-17
328,Frederick Solis,1992-08-21,+234856203483,Nigeria,False,False,2019-07-01
329,Michael Cox,1980-04-17,+234790878087,Nigeria,False,True,2024-03-18
330,Dana Chapman,1986-03-26,+254828454733,Kenya,True,False,2019-09-16
331,Seth Reese,1965-08-27,+233822857426,Ghana,True,True,2021-03-28
332,Christopher Dixon,1958-05-03,+233784717106,Ghana,False,False,2025-02-02
333,Cheyenne Parsons,1974-06-20,+234709830312,Nigeria,False,True,2023-01-02
334,Sabrina Briggs,1966-08-27,+233712832296,Ghana,False,False,2020-05-24
335,David Thompson,1960-12-23,+233817293242,Ghana,False,False,2023-05-03
336,Mary Thompson,2003-03-03,+234750148364,Nigeria,True,False,2024-10-27
337,Julie Elliott,1990-01-03,+234722175857,Nigeria,False,True,2025-10-03
338,Thomas Cunningham,1993-10-22,+254748440918,Kenya,True,False,2019-11-24
339,Mrs. Tricia Stewart,1980-07-02,+234779360245,Nigeria,True,False,2023-10-12
340,Jeremy Turner,1969-04-08,+234819160749,Nigeria,True,True,2022-12-15
341,Heather Jones,1981-12-30,+234816753452,Nigeria,True,False,2019-08-23
342,Anthony Decker,1955-10-19,+234871130968,Nigeria,True,False,2020-10-17
343,Vanessa Davis,1991-01-01,+254738327070,Kenya,False,False,2023-11-30
344,Julie Spencer,2004-06-16,+234718047818,Nigeria,True,False,2023-01-23
345,Amanda Stout,1989-06-23,+234852268575,Nigeria,True,True,2024-01-17
